Date,Question,Answer,Cleaned_Answer,Keyword_Answer,Topic_Answer,TopicLabel_Answer
2023-01-11,기숙사 신청은 혹시 언제부터 일까요??,"네, 질문자님께서 재학생이라면 모집계획인 2022.12.20(화)~202301.08(일) 23:59분까지 아우누리(대학포털)에 들어가셔서 학사-> 생활관-> 입사지원신청을 해야합니다. 지원 전 유의사항은 다음과 같습니다.

1. 지원 전 반드시 본 공지사항의 첨부파일(안내문)을 꼼곰히 확인 후 지원바랍니다. (미확인에 따른 불이익 발생 시 생활관에서는 도움을 드릴 수 없음)
2. 본 생활관생 모집은 선착순으로 진행되지 않으며, 기한 내 모든 지원자는 전원 동일한 기준을 적용받습니다. 따라서 신중히 고민 후 지원바라며, 입사 지원 취소 희망 시 반드시 신청화면의 “신청 취소” 처리바랍니다.
3. 조기 복학 등의 사유로 아우누리에서 입사 신청이 불가한 학생은 첨부파일(안내문)을 확인하시어 이메일로 신청바랍니다.

아울러 학부(과) 신입생 생활관생 모집은 23년 2월경 별도 안내 예정이며, 대학원 신입생 생활관생 모집은 추가모집 때 진행 예정임을 알려드립니다.

기숙사 신청 및 관련 안내는 아래 연락처로 문의해주시길 바랍니다.

문의처: 한국기술교육대학교 학생생활관
1. 연락처: 041-560-1260(또는 dorm@학교메. 일)
＊ 이메일 문의 시 인적사항 반드시 기재
2. 근무시간: 월~금 09:00 ~ 18:00 (점심시간, 공휴일 제외)",질문자님께서 재학생이라면 모집계획인 2022 12 20 202301 08 23 59분까지 아우누리 포털 들어가셔서 학사 생활관 입사지원신청을 해야합니다 지원 유의사항은 다음과 같습니다 지원 반드시 공지사항의 첨부파일 안내문 꼼곰히 확인 지원바랍니다 미확인에 따른 불이익 발생 생활관에서는 도움을 드릴 없음 생활관생 모집은 선착순으로 진행되지 않으며 기한 모든 지원자는 전원 동일한 기준을 적용받습니다 따라서 신중히 고민 지원바라며 입사 지원 취소 희망 반드시 신청화면의 신청 취소 처리바랍니다 조기 복학 등의 사유로 아우누리에서 입사 신청이 불가한 학생은 첨부파일 안내문 확인하시어 이메일로 신청바랍니다 아울러 학부 신입생 생활관생 모집은 23년 2월경 별도 안내 예정이며 원 신입생 생활관생 모집은 추가모집 진행 예정임을 알려드립니다 기숙사 신청 관련 안내는 아래 연락처로 문의해주시길 바랍니다 문의처 교 학생생활관 연락처 041 560 1260 또는 학교메 이메일 문의 인적사항 반드시 기재 근무시간 09 00 18 00 점심시간 공휴일 제외,"['지원', '생활관', '신청', '모집', '입사']",0,학생 모집 및 입학 전형
2023-01-18,수강신청은 언제부터인가요?,"네, 신입생 수강 신청은 2023. 2. 22. 수요일에 진행될 예정입니다.",신입생 수강 신청은 2023 22 수요일에 진행될 예정입니다,"['신입생', '수강', '신청', '수요일', '진행']",4,신입생 입학 및 수업 안내
2023-01-19,기숙사 추가모집기간이 어떻게 되나요 ?,"네, 기숙사 추가 신청 기간은 2023.2.3(금) ~2.8(수)입니다.",기숙사 추가 신청 기간은 2023 입니다,"['기숙사', '추가', '신청', '기간']",4,신입생 입학 및 수업 안내
2023-01-19,안녕하세요 한기대에 수시합격했는데 학교에서 오는 문자가 엄마번호로만오고 제번호로 안와서 문의드립니다,"네 정보 수정을 위해 질문자님의 성함과 학부명을 알려주시면 담당 선생님께 문의 후 수정 도와드리겠습니다.

https:trs02.uwayapply.com0388K73F5N3FVVVVVULPN4",정보 수정을 위해 질문자님의 성함과 학부명을 알려주시면 담당 선생님께 문의 수정 도와드리겠습니다 02 0388 73,"['수정', '정보', '위해', '질문', '성함']",2,학교 문의 및 창의적 학습 지원
2023-01-19,기숙사생활할때 개인적으로 준비해야할것은 어떤것들이 있나요?,"네, 기숙사 입사 시 개인적으로 꼭 구비해야하는 것은
1. 침구류( 이불, 베개, 침대커버, 담요) /침대사이즈. (싱글*200)
2. 의류/잡화
(여벌 옷, 모자 속옷, 신발, 슬리퍼 (실내실외), 양말
3. 세면도구
(샴푸, 린스, 바디워시, 사워 타올, 클렌징 폼, 비누, 치약, 칫솔, 수건, 면도기, 욕실 슬리퍼, 드라이기, 샤워바구니, 고데기)
4. 생활용품
빨래바구니. 건조대. 옷걸이, 멀티탭, 충전기, 이어폰, 노트북, 마우스, 휴지, 물티슈, 세제, 섬유유연제, 텀 블러, 돌돌이, 휴지통, 비닐봉지. 쓰레기통, 마스크, 거울, 우산

등을 개인적으로 구비해오셔야 합니다. 더불어 기숙사 내 취사 및 온열기구는 반입이 금지되며 한국기술교육대학교 기숙사 관련 사이트인 아우미르에 방문하셔서 기숙사별 편의시설 제공 여부를 확인 후 참고하여 물품 구비하시길 바랍니다.

위에 알려드린 것 외 세부 물품과 관련한 항목 사진을 첨부해드리오니 참고하시면 좋을 것 같습니다:)",기숙사 입사 개인적으로 구비해야하는 것은 침구류 이불 베개 침대커버 담요 침대사이즈 싱글 200 의류 잡화 여벌 모자 속옷 신발 슬리퍼 실내실외 양말 세면도구 샴푸 린스 바디워시 사워 타올 클렌징 비누 치약 칫솔 수건 면도기 욕실 슬리퍼 드라이기 샤워바구니 고데기 생활용품 빨래바구니 건조대 옷걸이 멀티탭 충전기 이어폰 노트북 마우스 휴지 물티슈 세제 섬유유연제 블러 돌돌이 휴지통 비닐봉지 쓰레기통 마스크 거울 우산 등을 개인적으로 구비해오셔야 합니다 더불어 기숙사 취사 온열기구는 반입이 금지되며 교 기숙사 관련 사이트인 아우미르에 방문하셔서 기숙사별 편의시설 제공 여부를 확인 참고하여 물품 구비하시길 바랍니다 위에 알려드린 세부 물품과 관련한 항목 사진을 첨부해드리오니 참고하시면 좋을 같습니다,"['기숙사', '구비', '개인', '침대', '슬리퍼']",0,학생 모집 및 입학 전형
2023-01-19,"혹시 오늘 면접을 보았는데 면접 결과는 따로 안나오나요?
만약 과락되었다고 한다면 사유도 알 수 있을까요?","네,면접발표일은 2023.2.6. 에 발표 예정이며 죄송하지만 만약 질문자님께서 과락되었다면 그 사유는 공개하지 않아 알려드릴 수 없습니다.",면접발표일은 2023 발표 예정이며 죄송하지만 만약 질문자님께서 과락되었다면 사유는 공개하지 않아 알려드릴 없습니다,"['발표', '면접', '예정', '만약', '질문']",3,학년별 논술 평가 및 전형
2023-01-19,"그러면 혹시 과락은 면접에서만 결정이 되는 사항이며
면접에서 만약 주어진 질문에 다 대답했다면 과락은 면할 수 있는 것일까요 ??","네, 토익으로 과락은 없으며 면접으로 과락은 발생할 수 있습니다. 면접 때 질문답변을 다했어도 심사위원이 평가하는 기준에 합치하지 않으면 과락이 발생할 수는 있으나 그 사유와 이유에 관해서는 알려드릴 수 없습니다.",토익으로 과락은 없으며 면접으로 과락은 발생할 있습니다 면접 질문답변을 다했어도 심사위원이 평가하는 기준에 합치하지 않으면 과락이 발생할 수는 있으나 사유와 이유에 관해서는 알려드릴 없습니다,"['과락', '면접', '발생', '토익', '질문']",3,학년별 논술 평가 및 전형
2023-01-20,2023학번 입학후 휴학은 언제부터 가능하나요),"네, 2023학년도 1학기 휴학 신청 기간으로는 개강 전 2022.12.19(월) 9:00~2023.03.01(수) 23:59 이며, 개강 후 휴학으로는 2023.03.02(목)9:00~2023.05.19(목) 23:59 입니다. 더불어 신청 방법으로는 (아우누리-학적변동-휴학신청)을 통해 신청해주시면 됩니다.

담당 문의처를 기입해 드리오니 추가적으로 휴학 관련 질문이 있으시면 연락주시면 답변해드리겠습니다.
?? 휴.복학: 041-560-1100",2023학년도 1학기 휴학 신청 기간으로는 개강 2022 12 19 00 2023 03 01 23 59 이며 개강 휴학으로는 2023 03 02 00 2023 05 19 23 59 입니다 더불어 신청 방법으로는 아우누리 학적변동 휴학신청 통해 신청해주시면 됩니다 담당 문의처를 기입해 드리오니 추가적으로 휴학 관련 질문이 있으시면 연락주시면 답변해드리겠습니다 복학 041 560 1100,"['휴학', '신청', '개강', '학년', '학기']",3,학년별 논술 평가 및 전형
2023-01-20,올해 입학하는 1학년도 휴학 신청이 가능한 건가요?,"네, 휴학 신청 가능하나 1학년 1학기는 군휴학만 휴학 인정 됨을 알려드립니다.",휴학 신청 가능하나 1학년 1학기는 군휴학만 휴학 인정 됨을 알려드립니다,"['휴학', '신청', '학년', '학기', '인정']",3,학년별 논술 평가 및 전형
2023-01-23,"안녕하세요 제가 공고다니는학생인데 성적이abc이런식으로 나오는데 a가 몇등급인지 이런거를 알수있을까요?
그리고 특성화고전형으로 지원하면 전공과목도 들어가지는도 궁금합니다
특성화고 내신산출법도 알려주시면 감사하겠습니다","1. 질문자님께서 a,b,c 이와 같이 성취도 평가(진로과목)은 평가되지 않습니다. 즉 2023학년도 기준으로 교과성적이 9등급 체제가 아닌 성취도로 산출하는 과목은 교과성적 반영에서 제외합니다.

2. 네, 특성화고 전형도 전공과목 반영합니다. 단, 9등급 체제로 산출되지 않는 과목은 반영하지 않습니다.

3. 학생부종합전형(특성화고졸업자)은 교과성적을 산출하지 않습니다. 교과전형 및 논술전형 지원 시, 교과성적을 산출합니다. 내신 산출방법은 한국기술교육대학교 내신산출 (모의성적계산 서비스)를 이용하시면 됩니다.",질문자님께서 이와 같이 성취도 평가 진로과목 평가되지 않습니다 2023학년도 기준으로 교과성적이 9등급 체제가 아닌 성취도로 산출하는 과목은 교과성적 반영에서 제외합니다 특성화고 전형도 전공과목 반영합니다 9등급 체제로 산출되지 않는 과목은 반영하지 않습니다 학생부종합전형 특성화고졸업자 교과성적을 산출하지 않습니다 교과전형 논술전형 지원 교과성적을 산출합니다 내신 산출방법은 교 내신산출 모의성적계산 서비스 이용하시면 됩니다,"['산출', '교과', '성적', '과목', '반영']",1,교과 성적 반영 및 전형 평가
2023-01-23,내신 산출 모의성적계산 서비스가 어디에있는지 못찾겠어요??,"네 관련링크 첨부했으니 참고 부탁드립니다:)

http://consult.uwayro.com/?univ=04219",관련링크 첨부했으니 참고 부탁드립니다 04219,"['관련', '링크', '첨부', '참고']",0,학생 모집 및 입학 전형
2023-01-24,"정시 조기발표같은거 안하나욥??
안하면 몇 시 발표인가요??","네, 조기 발표 예정은 없으며, 한국기술교육대학교 2023학년도 정시모집 합격자 발표는 예정대로 2023.1.26(목) 10:00에 진행됩니다. 등록기간은 2023.2.7.(화) 9:00~ 16:00이며 기간 미등록 시 합격 취소 됩니다. 아울러 합격 발표는 학교 홈페이지 입학 안내 공지사항에 탑재되어있으니 참고부탁드립니다.",조기 발표 예정은 없으며 교 2023학년도 정시모집 합격자 발표는 예정대로 2023 26 10 00에 진행됩니다 등록기간은 2023 00 16 00이며 기간 미등록 합격 취소 됩니다 아울러 합격 발표는 학교 홈페이지 입학 안내 공지사항에 탑재되어있으니 참고부탁드립니다,"['발표', '예정', '기간', '합격', '조기']",4,신입생 입학 및 수업 안내
2023-01-25,정시합격자발표 시간이 어떻게 되나요?,"네, 조기 발표 예정은 없으며, 한국기술교육대학교 2023학년도 정시모집 합격자 발표는 예정대로 2023.1.26(목) 10:00에 진행됩니다. 등록기간은 2023.2.7.(화) 9:00~ 16:00이며 기간 미등록 시 합격 취소 됩니다. 아울러 합격 발표는 학교 홈페이지 입학 안내 공지사항에 탑재되어있으니 참고부탁드립니다.",조기 발표 예정은 없으며 교 2023학년도 정시모집 합격자 발표는 예정대로 2023 26 10 00에 진행됩니다 등록기간은 2023 00 16 00이며 기간 미등록 합격 취소 됩니다 아울러 합격 발표는 학교 홈페이지 입학 안내 공지사항에 탑재되어있으니 참고부탁드립니다,"['발표', '예정', '기간', '합격', '조기']",4,신입생 입학 및 수업 안내
2023-01-26,한기대 입학포기 할려면 어디에 연락드리면 될까요?,"네, 등록포기 진행을 위해 질문자님 지원 전형이 필요합니다. 혹시 어느 전형으로 지원 후 합격 통보 받으셨나요?",등록포기 진행을 위해 질문자님 지원 전형이 필요합니다 혹시 어느 전형으로 지원 합격 통보 받으셨나요,"['지원', '전형', '등록', '포기', '진행']",0,학생 모집 및 입학 전형
2023-01-26,사회통합 전형입니다 윤미소 01031561738,"네 담당 선생님께 문의 결과, 질문자님께서 입학 포기를 원하신다면 등록금 미납 처리가 되면 등록포기가 된다고합니다. 질문자님께서는 등록금 납부 안하면 등록 포기 됩니다.",담당 선생님께 문의 결과 질문자님께서 입학 포기를 원하신다면 등록금 미납 처리가 되면 등록포기가 된다고합니다 질문자님께서는 등록금 납부 안하면 등록 포기 됩니다,"['포기', '질문', '등록금', '등록', '담당']",0,학생 모집 및 입학 전형
2023-01-27,안녕하세요 한기대 사이트 로그인할려고 들어가니가 부모님번호랑 제번호가 둘다안되서그런데 어떻게해결해야될까요 ㅠㅠ,"네, 아직 신입생의 경우, 아우누리는 학번이 발급 되지 않아서 이용이 어렵습니다. 한국기술교육대학교 온라인 교육 사이트인 LMS만 임시 로그인이 가능하며 LMS의 경우, 질문자님 연락처로 로그인 가능합니다.

모바일은 로그인이 안될수 있으니 PC로 해보시고,
시도해도 로그인이 안되면 학사팀(041-560-1090)으로 문의하시면 됩니다.",아직 신입생의 경우 아우누리는 학번이 발급 되지 않아서 이용이 어렵습니다 교 온라인  사이트인 임시 로그인이 가능하며 경우 질문자님 연락처로 로그인 가능합니다 모바일은 로그인이 안될수 있으니 해보시고 시도해도 로그인이 안되면 학사팀 041 560 1090 으로 문의하시면 됩니다,"['로그인', '경우', '신입생', '아우', '학번']",1,교과 성적 반영 및 전형 평가
2023-01-29,"오티일정은
2.19.~24.로 알고 있는데

캠퍼스에서 진행되나요?","네, 맞습니다 2023.1.19~ 2023.1.24일까지 진행되며 ot 기간동안 기숙사에 거주하며 캠퍼스내에서 활동 진행합니다.",맞습니다 2023 19 2023 24일까지 진행되며 기간동안 기숙사에 거주하며 캠퍼스내에서 활동 진행합니다,"['진행', '기간', '동안', '기숙사', '거주']",5,학과별 학부 프로그램 및 재학생 정보
2023-01-29,과톡방이나 과선배와 연락할수있는 방법이 있나요?,"네, 과톡 개설 여부 및 연락 확인을 위해 질문자님 학과를 알 수 있을까요?",과톡 개설 여부 연락 확인을 위해 질문자님 학과를 있을까요,"['과톡', '개설', '여부', '연락', '확인']",4,신입생 입학 및 수업 안내
2023-01-29,산업경영학과입니다,"네, 별도의 학과 단체 채팅방은 운영하고 있지 않으며, 2023 나우리캠프(ot)기간에 공지방을 안내할 예정이오니 이 점 참고부탁드립니다.",별도의 학과 단체 채팅방은 운영하고 있지 않으며 2023 나우리캠프 기간에 공지방을 안내할 예정이오니 참고부탁드립니다,"['별도', '학과', '단체', '채팅', '운영']",5,학과별 학부 프로그램 및 재학생 정보
2023-01-30,OT 일정이 궁금합니다,"네, 2023 나우리캠프(ot) 주요 일정으로는 총장님 환영사, 동기 및 선배와의 모둠 활동, 교내 자치단체 별 컨텐츠 및 프로그램 진행, 학과 학생회와의 만남 등 여러 행사가 진행될 예정이며 세부 내용과 관련한 신입생 안내자료를 함께 첨부드리오니 참고바랍니다.",2023 나우리캠프 주요 일정으로는 총장님 환영사 동기 선배와의 모둠 활동 교내 자치단체 컨텐츠 프로그램 진행 학과 학생회와의 만남 여러 행사가 진행될 예정이며 세부 내용과 관련한 신입생 안내자료를 함께 첨부드리오니 참고바랍니다,"['진행', '나우', '캠프', '주요', '일정']",0,학생 모집 및 입학 전형
2023-01-31,"23학번 기계공학부 국민재라고 합니다
합격통지서를 받고싶은데 어떻게 받나요 ..","네 합격증명서 확인 기간을 연장해놓았으니 다시 조회해보시면 합격증명서 확인가능합니다. 관련 링크 첨부하오니 참고부탁드립니다:)

https:trs02.uwayapply.com0388K73F5N3FVVVVVULPN4",합격증명서 확인 기간을 연장해놓았으니 다시 조회해보시면 합격증명서 확인가능합니다 관련 링크 첨부하오니 참고부탁드립니다 02 0388 73,"['합격', '증명서', '확인', '기간', '연장']",5,학과별 학부 프로그램 및 재학생 정보
2023-01-31,안녕하세요 ot 날짜 알 수 있을까요?,"네, 맞습니다 2023.1.19~ 2023.1.24일까지 진행되며 ot 기간동안 기숙사에 거주하며 캠퍼스내에서 활동 진행합니다.",맞습니다 2023 19 2023 24일까지 진행되며 기간동안 기숙사에 거주하며 캠퍼스내에서 활동 진행합니다,"['진행', '기간', '동안', '기숙사', '거주']",5,학과별 학부 프로그램 및 재학생 정보
2023-01-31,혹시 자세한 일정을 공지사항에서 못찾아서 그런데 어디 나와있는지 알 수 있을까요?,"네, 2023 나우리캠프(ot) 주요 일정으로는 총장님 환영사, 동기 및 선배와의 모둠 활동, 교내 자치단체 별 컨텐츠 및 프로그램 진행, 학과 학생회와의 만남 등 여러 행사가 진행될 예정이며 세부 내용과 관련한 신입생 안내자료를 함께 첨부드리오니 참고바랍니다.",2023 나우리캠프 주요 일정으로는 총장님 환영사 동기 선배와의 모둠 활동 교내 자치단체 컨텐츠 프로그램 진행 학과 학생회와의 만남 여러 행사가 진행될 예정이며 세부 내용과 관련한 신입생 안내자료를 함께 첨부드리오니 참고바랍니다,"['진행', '나우', '캠프', '주요', '일정']",0,학생 모집 및 입학 전형
2023-01-31,19일이 일요일인데 그때부터 나가는건가용?,"네, 신입생 오리엔테이션은 2023.2.19.(일) ~ 2.24.(금)에 진행할예정이며, 생활관 입실: 2.19.(일) 13:00~16:00까지 하시면 됩니다.
19일 오후 16:00까지 개인적으로 오셔서 짐정리 후 저녁 시간대에 ot 진행할 예정입니다.
더불어 입학식: 2.24.(금) 11:00~12:00에 진행하오니 참고 부탁드립니다.",신입생 오리엔테이션은 2023 19 24 진행할예정이며 생활관 입실 19 13 00 16 00까지 하시면 됩니다 19일 오후 16 00까지 개인적으로 오셔서 짐정리 저녁 시간대에 진행할 예정입니다 더불어 입학식 24 11 00 12 00에 진행하오니 참고 부탁드립니다,"['진행', '예정', '신입생', '오리엔테이션', '생활관']",4,신입생 입학 및 수업 안내
